ts,open,high,low,close,volume,n_trades,vwap
2024-06-03 13:30:00+00:00,193.01,193.03,192.83,192.99,939479,221,192.9997995484731
2024-06-03 13:30:01+00:00,192.98,193.0,192.96,192.96,18975,115,192.98787641633731
2024-06-03 13:30:02+00:00,192.97,193.01,192.95,193.0,29046,300,192.99549301108587
2024-06-03 13:30:03+00:00,193.0,193.0,192.96,192.99,11057,86,192.97534503029758
2024-06-03 13:30:04+00:00,192.99,193.0,192.97,192.97,2617,92,192.98635842567822
2024-06-03 13:30:05+00:00,193.0,193.0,192.96,192.97,6607,125,192.97307401241105
2024-06-03 13:30:06+00:00,192.98,192.99,192.96,192.96,3202,46,192.97366958151153
2024-06-03 13:30:07+00:00,192.96,192.98,192.95,192.95,10291,75,192.95843455446507
2024-06-03 13:30:08+00:00,192.95,192.96,192.95,192.96,3785,23,192.95139233817702
2024-06-03 13:30:09+00:00,192.97,192.97,192.95,192.96,1320,22,192.96131818181817
2024-06-03 13:30:10+00:00,192.96,192.97,192.89,192.93,12102,151,192.9417831763345
2024-06-03 13:30:11+00:00,192.94,192.94,192.93,192.93,672,21,192.93662202380952
2024-06-03 13:30:12+00:00,192.93,192.97,192.89,192.97,8445,83,192.92492954410898
2024-06-03 13:30:13+00:00,192.96,192.97,192.9,192.96,1983,52,192.9343620776601
2024-06-03 13:30:14+00:00,192.97,192.98,192.95,192.97,595,46,192.9651260504202
2024-06-03 13:30:15+00:00,192.98,193.15,192.94,193.06,16430,247,193.04932258064517
2024-06-03 13:30:16+00:00,193.06,193.07,193.02,193.04,3289,43,193.04269382791122
2024-06-03 13:30:17+00:00,193.05,193.06,193.03,193.06,1302,18,193.0444470046083
2024-06-03 13:30:18+00:00,193.04,193.06,193.03,193.05,420,13,193.04869047619047
2024-06-03 13:30:19+00:00,193.04,193.06,193.02,193.02,838,14,193.04649164677804
2024-06-03 13:30:20+00:00,193.04,193.07,193.03,193.06,2008,24,193.05949203187248
2024-06-03 13:30:21+00:00,193.06,193.07,193.05,193.07,688,11,193.06819767441857
2024-06-03 13:30:22+00:00,193.07,193.07,193.05,193.07,1159,16,193.06860224331322
2024-06-03 13:30:23+00:00,193.07,193.07,193.01,193.02,2123,34,193.03400847856804
2024-06-03 13:30:24+00:00,193.02,193.18,192.98,193.18,5529,60,193.03095134744075
2024-06-03 13:30:25+00:00,193.18,193.28,193.14,193.2,17678,274,193.21893935965608
2024-06-03 13:30:26+00:00,193.18,193.18,193.06,193.08,5137,88,193.1074985400039
2024-06-03 13:30:27+00:00,193.05,193.05,193.0,193.02,5161,83,193.02083317186592
2024-06-03 13:30:28+00:00,193.02,193.07,193.01,193.03,5809,41,193.02642107075224
2024-06-03 13:30:29+00:00,193.05,193.07,193.04,193.07,103,5,193.06679611650486
2024-06-03 13:30:30+00:00,193.08,193.13,193.03,193.08,1873,36,193.07955686065134
2024-06-03 13:30:31+00:00,193.11,193.11,193.08,193.11,60,5,193.10066666666668
2024-06-03 13:30:32+00:00,193.11,193.17,193.1,193.17,608,19,193.1356414473684
2024-06-03 13:30:33+00:00,193.13,193.21,193.13,193.21,1554,31,193.18405405405406
2024-06-03 13:30:34+00:00,193.21,193.22,193.16,193.16,1385,26,193.20407942238268
2024-06-03 13:30:35+00:00,193.19,193.21,193.16,193.21,598,16,193.18478260869566
2024-06-03 13:30:36+00:00,193.21,193.27,193.21,193.27,1344,17,193.21746279761905
2024-06-03 13:30:37+00:00,193.27,193.28,193.25,193.28,2358,31,193.2748134011875
2024-06-03 13:30:38+00:00,193.28,193.34,193.26,193.33,2805,65,193.3139393939394
2024-06-03 13:30:39+00:00,193.3,193.3,193.22,193.22,3840,29,193.28089583333332
2024-06-03 13:30:40+00:00,193.25,193.26,193.21,193.24,425,15,193.2522588235294
2024-06-03 13:30:41+00:00,193.19,193.25,193.06,193.1,6290,78,193.18388871224167
2024-06-03 13:30:42+00:00,193.08,193.1,192.94,193.0,7314,90,193.03770303527483
2024-06-03 13:30:43+00:00,193.01,193.21,193.01,193.09,16959,185,193.10158205082845
2024-06-03 13:30:44+00:00,193.07,193.13,193.06,193.13,4261,46,193.08578737385588
2024-06-03 13:30:45+00:00,193.15,193.15,193.09,193.13,787,27,193.13063532401526
2024-06-03 13:30:46+00:00,193.11,193.16,193.07,193.16,2256,20,193.0915425531915
2024-06-03 13:30:47+00:00,193.16,193.16,193.11,193.15,974,16,193.14240246406573
2024-06-03 13:30:48+00:00,193.17,193.17,193.17,193.17,46,5,193.17
2024-06-03 13:30:49+00:00,193.18,193.2,193.15,193.16,2166,36,193.1747460757156
2024-06-03 13:30:50+00:00,193.15,193.16,193.09,193.1,1078,23,193.12370129870126
2024-06-03 13:30:51+00:00,193.1,193.12,193.07,193.1,2558,36,193.09225957779515
2024-06-03 13:30:52+00:00,193.13,193.13,193.12,193.13,613,11,193.12164763458404
2024-06-03 13:30:53+00:00,193.13,193.23,193.13,193.2,1666,22,193.1924729891957
2024-06-03 13:30:54+00:00,193.2,193.31,193.2,193.3,1706,28,193.21866940211018
2024-06-03 13:30:55+00:00,193.31,193.32,193.25,193.29,5571,61,193.2669448931969
2024-06-03 13:30:56+00:00,193.29,193.29,193.25,193.26,1933,18,193.2841489912054
2024-06-03 13:30:57+00:00,193.28,193.29,193.28,193.29,800,12,193.28685
2024-06-03 13:30:58+00:00,193.28,193.29,193.27,193.29,1684,22,193.28858076009502
2024-06-03 13:30:59+00:00,193.32,193.34,193.315,193.32,925,21,193.33392972972973
2024-06-03 13:31:00+00:00,193.3,193.3,193.27,193.29,1047,21,193.28375358166187
2024-06-03 13:31:01+00:00,193.29,193.37,193.27,193.37,10702,50,193.33610633526445
2024-06-03 13:31:02+00:00,193.37,193.39,193.26,193.28,2599,38,193.32941515967684
2024-06-03 13:31:03+00:00,193.24,193.26,193.16,193.2,3337,40,193.21784836679652
2024-06-03 13:31:04+00:00,193.2,193.27,193.16,193.27,8802,84,193.22522835719155
2024-06-03 13:31:05+00:00,193.24,193.24,193.18,193.19,1741,24,193.21524985640437
2024-06-03 13:31:06+00:00,193.19,193.25,193.19,193.25,994,26,193.20070422535213
2024-06-03 13:31:07+00:00,193.26,193.33,193.23,193.3,9366,72,193.2958787102285
2024-06-03 13:31:08+00:00,193.32,193.32,193.29,193.32,418,10,193.30956937799044
2024-06-03 13:31:09+00:00,193.32,193.33,193.26,193.29,881,20,193.30120317820658
2024-06-03 13:31:10+00:00,193.31,193.37,193.31,193.36,795,14,193.34037735849057
2024-06-03 13:31:11+00:00,193.36,193.37,193.34,193.36,962,15,193.35818087318086
2024-06-03 13:31:12+00:00,193.36,193.36,193.34,193.34,218,6,193.34068807339452
2024-06-03 13:31:13+00:00,193.35,193.35,193.34,193.34,925,15,193.34567567567566
2024-06-03 13:31:14+00:00,193.35,193.35,193.34,193.34,17,4,193.34647058823526
2024-06-03 13:31:15+00:00,193.34,193.34,193.34,193.34,121,6,193.34000000000003
