toxicity_regime,n_steps,mean_pnl,final_pnl_last_step,fill_rate_bid,fill_rate_ask,avg_adverse_selection_cost,avg_realized_spread_component,avg_markout,median_markout,mean_inventory_abs,run_id,use_hawkes,A,k,markout_horizon_steps
low_toxicity,7722,7709.0370771814305,11607.066105,0.0341880341880341,0.0295260295260295,0.3922235172235172,0.3920778295778295,-0.2462398373983739,-0.245,368.6803936803937,hawkes__A_0.12__k_4.0__h_5,True,0.12,4.0,5
medium_toxicity,7722,7536.462001011396,11613.75982,0.0332815332815332,0.0344470344470344,0.4142223517223517,0.41755698005698,-0.2446367112810707,-0.245,371.2121212121212,hawkes__A_0.12__k_4.0__h_5,True,0.12,4.0,5
high_toxicity,7956,5742.303162420187,11592.469225,0.0514077425842131,0.056184012066365,0.6612462292609351,0.6641371292106586,-0.2458352803738318,-0.245,318.9888134741076,hawkes__A_0.12__k_4.0__h_5,True,0.12,4.0,5
low_toxicity,7722,7709.0370771814305,11607.066105,0.0341880341880341,0.0295260295260295,0.3929843304843304,0.3920778295778295,-0.2467174796747967,-0.245,368.6803936803937,hawkes__A_0.12__k_4.0__h_3,True,0.12,4.0,3
medium_toxicity,7722,7536.462001011396,11613.75982,0.0332815332815332,0.0344470344470344,0.4163914788914789,0.41755698005698,-0.2459177820267686,-0.245,371.2121212121212,hawkes__A_0.12__k_4.0__h_3,True,0.12,4.0,3
high_toxicity,7956,5742.303162420187,11592.469225,0.0514077425842131,0.056184012066365,0.6648127199597788,0.6641371292106586,-0.247161214953271,-0.245,318.9888134741076,hawkes__A_0.12__k_4.0__h_3,True,0.12,4.0,3
low_toxicity,7722,7709.0370771814305,11607.066105,0.0341880341880341,0.0295260295260295,0.3933080808080808,0.3920778295778295,-0.246920731707317,-0.245,368.6803936803937,hawkes__A_0.12__k_4.0__h_1,True,0.12,4.0,1
medium_toxicity,7722,7536.462001011396,11613.75982,0.0332815332815332,0.0344470344470344,0.418026418026418,0.41755698005698,-0.2468833652007648,-0.245,371.2121212121212,hawkes__A_0.12__k_4.0__h_1,True,0.12,4.0,1
high_toxicity,7956,5742.303162420187,11592.469225,0.0514077425842131,0.056184012066365,0.6657239819004525,0.6641371292106586,-0.2475,-0.245,318.9888134741076,hawkes__A_0.12__k_4.0__h_1,True,0.12,4.0,1
low_toxicity,7722,7149.752024625745,10675.982885,0.0323750323750323,0.0278425278425278,0.3686706811706812,0.3711635586635586,-0.2448924731182795,-0.245,346.67184667184665,baseline__A_0.12__k_4.0__h_5,False,0.12,4.0,5
medium_toxicity,7722,6999.77911571225,10700.09487,0.0339290339290339,0.0322455322455322,0.4105477855477855,0.4136234136234136,-0.248160469667319,-0.25,337.46762496762494,baseline__A_0.12__k_4.0__h_5,False,0.12,4.0,5
high_toxicity,7956,5699.393902315863,10723.179285,0.0457516339869281,0.051533433886375,0.621810583207642,0.6192653343388638,-0.2556653746770026,-0.255,321.8702865761689,baseline__A_0.12__k_4.0__h_5,False,0.12,4.0,5
low_toxicity,7722,7149.752024625745,10675.982885,0.0323750323750323,0.0278425278425278,0.3687516187516187,0.3711635586635586,-0.2449462365591398,-0.245,346.67184667184665,baseline__A_0.12__k_4.0__h_3,False,0.12,4.0,3
medium_toxicity,7722,6999.77911571225,10700.09487,0.0339290339290339,0.0322455322455322,0.4111629111629111,0.4136234136234136,-0.24853228962818,-0.25,337.46762496762494,baseline__A_0.12__k_4.0__h_3,False,0.12,4.0,3
high_toxicity,7956,5699.393902315863,10723.179285,0.0457516339869281,0.051533433886375,0.6251885369532428,0.6192653343388638,-0.2570542635658915,-0.255,321.8702865761689,baseline__A_0.12__k_4.0__h_3,False,0.12,4.0,3
low_toxicity,7722,7149.752024625745,10675.982885,0.0323750323750323,0.0278425278425278,0.3715034965034965,0.3711635586635586,-0.2467741935483871,-0.245,346.67184667184665,baseline__A_0.12__k_4.0__h_1,False,0.12,4.0,1
medium_toxicity,7722,6999.77911571225,10700.09487,0.0339290339290339,0.0322455322455322,0.4124579124579124,0.4136234136234136,-0.2493150684931507,-0.25,337.46762496762494,baseline__A_0.12__k_4.0__h_1,False,0.12,4.0,1
high_toxicity,7956,5699.393902315863,10723.179285,0.0457516339869281,0.051533433886375,0.6223133484162896,0.6192653343388638,-0.2558720930232558,-0.255,321.8702865761689,baseline__A_0.12__k_4.0__h_1,False,0.12,4.0,1
low_toxicity,7722,5520.541359560995,8108.529185,0.0225330225330225,0.0185185185185185,0.2523795648795648,0.2527033152033152,-0.2459148264984227,-0.245,355.8728308728309,hawkes__A_0.08__k_4.0__h_5,True,0.08,4.0,5
medium_toxicity,7722,5403.658604972806,8132.529185,0.0229215229215229,0.024087024087024,0.2872798497798497,0.2898212898212898,-0.2444490358126722,-0.245,360.56721056721057,hawkes__A_0.08__k_4.0__h_5,True,0.08,4.0,5
high_toxicity,7956,4129.268884856084,8086.432305,0.0355706385118149,0.0402212166918049,0.4651835093011564,0.4677287581699346,-0.2455058043117745,-0.245,304.47146807440924,hawkes__A_0.08__k_4.0__h_5,True,0.08,4.0,5
low_toxicity,7722,5520.541359560995,8108.529185,0.0225330225330225,0.0185185185185185,0.2526709401709401,0.2527033152033152,-0.2461987381703469,-0.245,355.8728308728309,hawkes__A_0.08__k_4.0__h_3,True,0.08,4.0,3
medium_toxicity,7722,5403.658604972806,8132.529185,0.0229215229215229,0.024087024087024,0.288979538979539,0.2898212898212898,-0.2458953168044077,-0.245,360.56721056721057,hawkes__A_0.08__k_4.0__h_3,True,0.08,4.0,3
high_toxicity,7956,4129.268884856084,8086.432305,0.0355706385118149,0.0402212166918049,0.4679487179487179,0.4677287581699346,-0.2469651741293532,-0.245,304.47146807440924,hawkes__A_0.08__k_4.0__h_3,True,0.08,4.0,3
low_toxicity,7722,5520.541359560995,8108.529185,0.0225330225330225,0.0185185185185185,0.2530594405594406,0.2527033152033152,-0.246577287066246,-0.245,355.8728308728309,hawkes__A_0.08__k_4.0__h_1,True,0.08,4.0,1
medium_toxicity,7722,5403.658604972806,8132.529185,0.0229215229215229,0.024087024087024,0.2904364154364154,0.2898212898212898,-0.2471349862258953,-0.245,360.56721056721057,hawkes__A_0.08__k_4.0__h_1,True,0.08,4.0,1
high_toxicity,7956,4129.268884856084,8086.432305,0.0355706385118149,0.0402212166918049,0.46875,0.4677287581699346,-0.2473880597014925,-0.245,304.47146807440924,hawkes__A_0.08__k_4.0__h_1,True,0.08,4.0,1
low_toxicity,7722,5209.249197380212,7774.177245,0.0341880341880341,0.0293965293965293,0.263047138047138,0.2622539497539498,-0.165478615071283,-0.165,359.5247345247345,hawkes__A_0.12__k_6.0__h_5,True,0.12,6.0,5
medium_toxicity,7722,5093.875917651516,7784.87104,0.0334110334110334,0.0347060347060347,0.2775835275835275,0.281015281015281,-0.1629277566539923,-0.165,362.84317534317535,hawkes__A_0.12__k_6.0__h_5,True,0.12,6.0,5
